config,seed,learning_rate,layer_sizes,final_train_loss,final_train_accuracy,final_train_macro_sensitivity,final_train_macro_specificity,final_train_sensitivity_class_0,final_train_sensitivity_class_1,final_train_sensitivity_class_2,final_train_specificity_class_0,final_train_specificity_class_1,final_train_specificity_class_2,final_val_loss,final_val_accuracy,final_val_macro_sensitivity,final_val_macro_specificity,final_val_sensitivity_class_0,final_val_sensitivity_class_1,final_val_sensitivity_class_2,final_val_specificity_class_0,final_val_specificity_class_1,final_val_specificity_class_2,final_test_loss,final_test_accuracy,final_test_macro_sensitivity,final_test_macro_specificity,final_test_sensitivity_class_0,final_test_sensitivity_class_1,final_test_sensitivity_class_2,final_test_specificity_class_0,final_test_specificity_class_1,final_test_specificity_class_2
small_1_hidden_4_lr_0_1,5,0.1,13 -> 4 -> 3,0.000319675135743812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3149828307582364e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14863984044297676,0.9428571428571428,0.9484126984126985,0.9713064713064713,0.9166666666666666,0.9285714285714286,1.0,1.0,0.9523809523809523,0.9615384615384616
small_1_hidden_4_lr_0_1,6,0.1,13 -> 4 -> 3,0.0003066338949172017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13362647000921662,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.03484363526467397,0.9714285714285714,0.9629629629629629,0.9841269841269842,1.0,1.0,0.8888888888888888,1.0,0.9523809523809523,1.0
small_1_hidden_4_lr_0_1,7,0.1,13 -> 4 -> 3,0.0002143047964132107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08502982976235801,0.9444444444444444,0.9523809523809524,0.9732905982905984,1.0,0.8571428571428571,1.0,0.9583333333333334,1.0,0.9615384615384616,0.034623967083029505,0.9714285714285714,0.9629629629629629,0.9841269841269842,1.0,1.0,0.8888888888888888,1.0,0.9523809523809523,1.0
small_1_hidden_4_lr_0_1,8,0.1,13 -> 4 -> 3,0.0013710841381461857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010965991216806182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20372238390046019,0.9428571428571428,0.9523809523809524,0.9743589743589745,1.0,0.8571428571428571,1.0,1.0,1.0,0.9230769230769231
small_1_hidden_4_lr_0_1,9,0.1,13 -> 4 -> 3,0.00035516510654330126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08420600423333187,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.009100048372308326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_001,0,0.001,13 -> 8 -> 3,0.7496403849680828,0.6728971962616822,0.6201550387596899,0.8211805555555555,1.0,0.8604651162790697,0.0,0.9166666666666666,0.546875,1.0,0.7521226134708009,0.6388888888888888,0.5952380952380952,0.8080808080808081,1.0,0.7857142857142857,0.0,0.8333333333333334,0.5909090909090909,1.0,0.7357242565086487,0.6857142857142857,0.6190476190476191,0.8281573498964803,1.0,0.8571428571428571,0.0,0.9130434782608695,0.5714285714285714,1.0
small_1_hidden_8_lr_0_001,1,0.001,13 -> 8 -> 3,0.4006207449110992,0.9906542056074766,0.9922480620155039,0.9957264957264957,1.0,0.9767441860465116,1.0,1.0,1.0,0.9871794871794872,0.41558811194962986,0.9722222222222222,0.9761904761904763,0.9861111111111112,1.0,0.9285714285714286,1.0,0.9583333333333334,1.0,1.0,0.4282723219618086,0.9428571428571428,0.9523809523809524,0.9710144927536232,1.0,0.8571428571428571,1.0,0.9130434782608695,1.0,1.0
small_1_hidden_8_lr_0_001,2,0.001,13 -> 8 -> 3,0.4668922145240806,0.9719626168224299,0.9692595562683773,0.9849537037037037,1.0,0.9767441860465116,0.9310344827586207,0.9861111111111112,0.96875,1.0,0.49488916798598076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4861995221049546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_001,3,0.001,13 -> 8 -> 3,0.6097818952271964,0.9719626168224299,0.9767441860465116,0.9864672364672366,1.0,0.9302325581395349,1.0,0.9722222222222222,1.0,0.9871794871794872,0.6255565769950299,0.9444444444444444,0.9523809523809524,0.9722222222222222,1.0,0.8571428571428571,1.0,0.9166666666666666,1.0,1.0,0.611463337256698,0.9714285714285714,0.9761904761904763,0.9855072463768115,1.0,0.9285714285714286,1.0,0.9565217391304348,1.0,1.0
small_1_hidden_8_lr_0_001,4,0.001,13 -> 8 -> 3,0.5499130556146155,0.6635514018691588,0.6589147286821705,0.8134348290598291,0.0,0.9767441860465116,1.0,1.0,0.453125,0.9871794871794872,0.606277271912802,0.6111111111111112,0.6190476190476191,0.7925407925407925,0.0,0.8571428571428571,1.0,1.0,0.45454545454545453,0.9230769230769231,0.5149710655711282,0.6571428571428571,0.6666666666666666,0.8095238095238096,0.0,1.0,1.0,1.0,0.42857142857142855,1.0
small_1_hidden_8_lr_0_001,5,0.001,13 -> 8 -> 3,0.8145962098218358,0.6355140186915887,0.6206896551724138,0.796875,0.0,1.0,0.8620689655172413,1.0,0.390625,1.0,0.8167124698501124,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.0,1.0,1.0,1.0,0.45454545454545453,1.0,0.8062320889377951,0.6571428571428571,0.6666666666666666,0.8095238095238096,0.0,1.0,1.0,1.0,0.42857142857142855,1.0
small_1_hidden_8_lr_0_001,6,0.001,13 -> 8 -> 3,0.471331508755885,0.9439252336448598,0.9534883720930232,0.9729344729344729,1.0,0.8604651162790697,1.0,0.9444444444444444,1.0,0.9743589743589743,0.5047691446804036,0.8888888888888888,0.9047619047619048,0.9476495726495727,1.0,0.7142857142857143,1.0,0.9583333333333334,1.0,0.8846153846153846,0.5014514856617647,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
